t`s`float	(deriv((v(txop_bump)-v(txon_bump)))/0.83873)`V/s
1.30869e-009	-2.28607e+007
1.30869e-009	0
1.3087e-009	-2.28607e+007
1.3087e-009	0
1.3087e-009	-2.28607e+007
1.3087e-009	0
1.30871e-009	0
1.30871e-009	-2.90954e+006
1.30872e-009	0
1.30873e-009	-2.90954e+006
1.30876e-009	-1.45477e+006
1.30884e-009	-1.45643e+006
1.30898e-009	-1.63755e+006
1.30928e-009	-1.63801e+006
1.30986e-009	-1.63778e+006
1.31103e-009	-1.66053e+006
1.31331e-009	-1.62269e+006
1.31631e-009	-1.62263e+006
1.31931e-009	-1.61085e+006
1.32231e-009	-1.57526e+006
1.32531e-009	-1.57526e+006
1.32831e-009	-1.55163e+006
1.33131e-009	-1.53973e+006
1.33459e-009	-1.52794e+006
1.33822e-009	-1.4936e+006
1.33832e-009	-2.1313e+006
1.33847e-009	-1.42165e+006
1.33877e-009	-1.42126e+006
1.33937e-009	-1.51009e+006
1.34057e-009	-1.46567e+006
1.34217e-009	-1.5324e+006
1.34377e-009	-1.46567e+006
1.34537e-009	-1.46578e+006
1.34697e-009	-1.48788e+006
1.34857e-009	-1.42136e+006
1.35025e-009	-1.46567e+006
1.35169e-009	-1.43122e+006
1.3532e-009	-1.43122e+006
1.35449e-009	-1.42561e+006
1.35579e-009	-1.45315e+006
1.35709e-009	-1.3709e+006
1.35838e-009	-1.42561e+006
1.35968e-009	-1.42573e+006
1.36097e-009	-1.3709e+006
1.36227e-009	-1.37078e+006
1.36357e-009	-1.42573e+006
1.36486e-009	-1.3709e+006
1.36616e-009	-1.37078e+006
1.36745e-009	-1.3709e+006
1.36875e-009	-1.31606e+006
1.37005e-009	-1.37078e+006
1.37134e-009	-1.3709e+006
1.37264e-009	-1.31606e+006
1.37393e-009	-1.37078e+006
1.37523e-009	-1.31606e+006
1.37717e-009	-1.3023e+006
1.37977e-009	-1.31606e+006
1.38236e-009	-1.31601e+006
1.38495e-009	-1.28859e+006
1.38754e-009	-1.27494e+006
1.39013e-009	-1.26117e+006
1.39273e-009	-1.27488e+006
1.39552e-009	-1.23183e+006
1.39852e-009	-1.24363e+006
1.40152e-009	-1.21998e+006
1.40452e-009	-1.20809e+006
1.40752e-009	-1.19625e+006
1.41052e-009	-1.19629e+006
1.41352e-009	-1.17256e+006
1.41652e-009	-1.1726e+006
1.41952e-009	-1.14887e+006
1.42252e-009	-1.14887e+006
1.42552e-009	-1.12523e+006
1.42852e-009	-1.12518e+006
1.43152e-009	-1.08969e+006
1.43452e-009	-1.1015e+006
1.43752e-009	-1.1015e+006
1.44052e-009	-1.066e+006
1.44352e-009	-1.07781e+006
1.44652e-009	-1.05416e+006
1.44952e-009	-1.04228e+006
1.45252e-009	-1.05412e+006
1.45552e-009	-1.01863e+006
1.45926e-009	-1.01859e+006
1.46078e-009	-1.03045e+006
1.46078e-009	0
1.46154e-009	0
1.46154e-009	0
1.46155e-009	5.1621e+006
1.46155e-009	0
1.46155e-009	5.1621e+006
1.46156e-009	0
1.46158e-009	0
1.46158e-009	-1.29575e+006
1.46159e-009	0
1.46162e-009	-1.29575e+006
1.4617e-009	-1.29444e+006
1.46191e-009	-970829
1.46206e-009	-1.04421e+006
1.46216e-009	-710433
1.46235e-009	-1.06624e+006
1.46247e-009	-1.10936e+006
1.46247e-009	0
1.46254e-009	-1.10936e+006
1.46254e-009	0
1.46256e-009	0
1.46256e-009	-2.88333e+006
1.46256e-009	0
1.46257e-009	-2.88333e+006
1.46257e-009	0
1.46259e-009	-2.88333e+006
1.46261e-009	0
1.46261e-009	-1.44492e+006
1.46264e-009	0
1.46268e-009	-1.44492e+006
1.46283e-009	-1.08308e+006
1.46313e-009	-902821
1.46372e-009	-1.03824e+006
1.4649e-009	-970532
1.46719e-009	-994937
1.47019e-009	-983056
1.47319e-009	-971212
1.47619e-009	-947559
1.47919e-009	-947524
1.48219e-009	-947559
1.48519e-009	-923836
1.48847e-009	-947524
1.49206e-009	-923221
1.49216e-009	-710433
1.49231e-009	-888534
1.49261e-009	-888287
1.49321e-009	-977116
1.49441e-009	-910558
1.49601e-009	-910494
1.49761e-009	-843873
1.49921e-009	-910558
1.50081e-009	-910494
1.50241e-009	-866140
1.50409e-009	-910494
1.50553e-009	-863666
1.50704e-009	-863666
1.50834e-009	-904715
1.50963e-009	-849957
1.51093e-009	-849957
1.51223e-009	-849884
1.51352e-009	-904793
1.51482e-009	-849957
1.51611e-009	-849884
1.51741e-009	-849957
1.51871e-009	-795121
1.52e-009	-849884
1.5213e-009	-849957
1.52259e-009	-849957
1.52389e-009	-795053
1.52519e-009	-849957
1.52648e-009	-849957
1.52778e-009	-795053
1.52907e-009	-795121
1.53102e-009	-822504
1.53361e-009	-822539
1.5362e-009	-795087
1.53879e-009	-795087
1.54139e-009	-795121
1.54398e-009	-767670
1.54657e-009	-753962
1.54937e-009	-781736
1.55237e-009	-769863
1.55537e-009	-758047
1.55837e-009	-722487
1.56137e-009	-758019
1.56437e-009	-722514
1.56737e-009	-734331
1.57037e-009	-722514
1.57337e-009	-722487
1.57637e-009	-710643
1.57937e-009	-698825
1.58237e-009	-698799
1.58537e-009	-675136
1.58837e-009	-686955
1.59137e-009	-675111
1.59437e-009	-675136
1.59737e-009	-651423
1.60037e-009	-686980
1.60337e-009	-651423
1.60637e-009	-627735
1.60937e-009	-651447
1.61311e-009	-627735
1.61463e-009	-631908
1.61463e-009	0
1.61538e-009	-631908
1.61539e-009	0
1.61539e-009	0
1.61539e-009	-5.20406e+006
1.61539e-009	0
1.6154e-009	-5.20406e+006
1.6154e-009	0
1.61541e-009	-5.20406e+006
1.61542e-009	0
1.61546e-009	0
1.61546e-009	-648531
1.61549e-009	0
1.61555e-009	-648531
1.61575e-009	-486398
1.61591e-009	-1.04591e+006
1.61601e-009	-710433
1.61619e-009	-355414
1.61632e-009	-1.10077e+006
1.61632e-009	0
1.61638e-009	-1.10077e+006
1.61639e-009	0
1.61642e-009	0
1.61642e-009	-1.43199e+006
1.61643e-009	0
1.61646e-009	-1.43199e+006
1.61653e-009	-716797
1.61668e-009	-358399
1.61698e-009	-627022
1.61757e-009	-582316
1.61876e-009	-649461
1.62106e-009	-627735
1.62406e-009	-604069
1.62706e-009	-604047
1.63006e-009	-604069
1.63306e-009	-580358
1.63606e-009	-615891
1.63906e-009	-580380
1.64236e-009	-580358
1.64591e-009	-577600
1.64601e-009	-710433
1.64616e-009	-355414
1.64646e-009	-710630
1.64706e-009	-577387
1.64826e-009	-533009
1.64986e-009	-599594
1.65146e-009	-577427
1.65306e-009	-555180
1.65466e-009	-577387
1.65626e-009	-533009
1.65794e-009	-555180
1.65938e-009	-542876
1.66089e-009	-567552
1.66218e-009	-575728
1.66348e-009	-493523
1.66478e-009	-575777
1.66607e-009	-520897
1.66737e-009	-575777
